x,y,z,plane,x_um,y_um,z_um
3352,2935,2,3,3365.408,2946.7400000000002,12.0
3311,2963,3,4,3324.244,2974.852,18.0
3338,2975,3,4,3351.352,2986.9,18.0
3275,2966,2,3,3288.1,2977.864,12.0
3354,2976,2,3,3367.416,2987.904,12.0
3368,2977,1,2,3381.472,2988.908,6.0
3472,2978,1,2,3485.888,2989.912,6.0
3463,2980,1,2,3476.852,2991.92,6.0
3451,2983,2,3,3464.804,2994.932,12.0
3250,2989,1,2,3263.0,3000.956,6.0
3246,3011,3,4,3258.984,3023.044,18.0
3267,3033,3,4,3280.068,3045.132,18.0
3224,2996,2,3,3236.896,3007.984,12.0
3408,3001,1,2,3421.632,3013.004,6.0
3470,3002,1,2,3483.88,3014.008,6.0
3407,3015,1,2,3420.628,3027.06,6.0
3361,3015,1,2,3374.444,3027.06,6.0
3196,3020,2,3,3208.784,3032.08,12.0
3263,3017,1,2,3276.052,3029.068,6.0
3349,3022,1,2,3362.396,3034.088,6.0
3305,3037,3,4,3318.22,3049.148,18.0
3176,3064,3,4,3188.704,3076.256,18.0
3385,3027,1,2,3398.54,3039.108,6.0
3259,3030,1,2,3272.036,3042.12,6.0
3230,3038,1,2,3242.92,3050.152,6.0
3343,3041,4,5,3356.372,3053.164,24.0
3360,3046,1,2,3373.44,3058.184,6.0
3178,3049,1,2,3190.712,3061.196,6.0
3177,3050,1,2,3189.708,3062.2,6.0
3158,3061,1,2,3170.632,3073.244,6.0
3307,3055,1,2,3320.228,3067.22,6.0
3277,3084,4,5,3290.108,3096.336,24.0
